look_up.card_id,look_up.member_id,look_up.member_joining_dt,look_up.card_purchase_dt,look_up.country,look_up.city,look_up.ucl,look_up.postcode,look_up.transaction_dt,look_up.score
340028465709212,009250698176266,2012-02-08 06:04:13.0,05/13,United States,Barberton,1.4750199649191983E7,12767,30-07-2016 16:20:40,233
340054675199675,835873341185231,2017-03-10 09:24:44.0,03/17,United States,Fort Dodge,1.0335464004589142E7,61064,31-08-2017 08:57:14,631
340082915339645,512969555857346,2014-02-15 06:30:30.0,07/14,United States,Graham,1.5121553950403104E7,22534,30-12-2016 03:00:41,407
340134186926007,887711945571282,2012-02-05 01:21:58.0,02/13,United States,Dix Hills,1.5850486621064655E7,92227,29-09-2017 13:26:16,614
340265728490548,680324265406190,2014-03-29 07:49:14.0,11/14,United States,Rancho Cucamonga,1.479888946226045E7,19343,28-02-2016 17:23:18,202
340268219434811,929799084911715,2012-07-08 02:46:08.0,08/12,United States,San Francisco,1.2136230089898087E7,84761,30-06-2016 20:03:38,415
340379737226464,089615510858348,2010-03-10 00:06:42.0,09/10,United States,Clinton,1.3181820968007345E7,41712,31-03-2016 06:03:04,229
340383645652108,181180599313885,2012-02-24 05:32:44.0,10/16,United States,West New York,1.2467920315200426E7,43541,29-11-2016 11:24:57,645
340803866934451,417664728506297,2015-05-21 04:30:45.0,08/17,United States,Beaverton,8748887.842674294,48321,31-10-2017 07:22:03,502
340889618969736,459292914761635,2013-04-23 08:40:11.0,11/15,United States,West Palm Beach,1.2909878583038952E7,61341,31-01-2018 21:57:18,330
340924125838453,188119365574843,2011-04-12 04:28:47.0,12/13,United States,Scottsbluff,1.1541275030267205E7,26667,21-03-2016 16:04:04,644
341005627432127,872138964937565,2013-09-08 03:16:50.0,02/17,United States,Chillum,1.368572221155838E7,61544,30-11-2017 07:09:46,629
341029651579925,974087224071871,2011-01-14 00:20:25.0,08/12,United States,Valley Station,1.4098107192059167E7,61328,30-07-2017 23:48:09,682
341311317050937,561687420200207,2014-03-18 06:23:23.0,02/15,United States,Vincennes,1.219835770103867E7,60706,31-08-2017 15:58:36,440
341344252914274,695906467918552,2012-03-02 03:21:01.0,03/13,United States,Columbine,1.3003476194485907E7,65660,30-08-2016 07:56:24,643
341363858179050,009190444424572,2012-02-19 05:16:44.0,04/14,United States,Cheektowaga,1.4093386841396011E7,75631,31-05-2017 10:10:02,559
341519629171378,533670008048847,2013-05-13 07:59:32.0,01/15,United States,Centennial,1.2879485897774477E7,73641,31-10-2017 09:07:23,408
341641153427489,230523184584316,2013-03-25 08:51:18.0,11/15,United States,Colchester,1.2986630945958104E7,30474,30-08-2017 22:25:14,475
341719092861087,304847505155781,2015-12-06 08:06:35.0,11/17,United States,Vernon Hills,1.4011548250291828E7,48811,30-11-2017 19:27:07,442
341722035429601,979218131207765,2015-12-22 10:46:23.0,01/17,United States,Elk Grove Village,1.1541375630295407E7,15502,30-09-2017 05:14:18,552
341724964458347,210778177559185,2011-02-07 01:43:13.0,03/14,United States,Fond du Lac,1.2486706827747475E7,12769,28-11-2017 18:17:42,695
341920010925925,185524819205415,2010-11-15 00:57:15.0,10/16,United States,Roosevelt,1.4809789233544327E7,27949,29-03-2017 17:37:10,570
342016727481601,329679840450294,2015-02-15 06:56:32.0,10/16,United States,Oakdale,8268088.270723758,65744,25-10-2017 19:41:52,408
342048672911139,409346767454057,2011-03-03 10:41:02.0,08/12,United States,Winter Springs,9801162.453270223,95569,28-01-2018 04:25:10,208
342106756753728,439669104078192,2013-11-25 02:05:46.0,03/14,United States,Pittsburg,1.1866378587024817E7,98245,30-06-2017 08:12:24,594
342136378319429,756971727303005,2016-01-09 01:19:50.0,10/17,United States,Superior,1.2363856504947564E7,59434,30-10-2017 22:35:22,237
342341653931950,569294535026544,2014-09-06 12:16:48.0,10/14,United States,Woodstock,1.4122009959822087E7,40143,30-10-2016 20:23:54,217
342400733369183,557238536043272,2016-03-01 07:30:53.0,08/17,United States,Derry,1.4668194126561739E7,17550,31-10-2017 07:22:03,326
342409040326783,093291208532654,2015-05-02 10:06:45.0,04/16,United States,Key West,1.4065269721665388E7,71235,26-10-2016 12:49:05,411
342541202178377,228647326620185,2013-12-28 05:34:26.0,04/15,United States,Taylors,9486731.845174555,12076,26-03-2016 11:56:14,465
342659393657862,075642075917789,2016-02-10 07:27:55.0,07/17,United States,Norman,1.5812398944893802E7,35962,27-09-2017 03:30:11,146
342679959520647,328980632419725,2017-06-20 06:30:36.0,07/17,United States,Oklahoma City,2.405806091347603E8,37766,30-07-2017 08:00:07,564
342684196338179,329884605707231,2011-11-11 03:06:15.0,08/13,United States,Lisle,1.207617004664839E7,12781,29-08-2016 14:23:03,458
342853996970884,683933065094215,2011-11-04 12:32:30.0,02/14,United States,Bradley,1.542675989049846E7,84655,28-07-2016 13:25:55,474
342894449456021,645003407215198,2015-07-15 01:27:46.0,04/17,United States,Olive Branch,1.5346745638526766E7,96729,31-10-2017 09:07:23,699
342917304031089,110913209929562,2015-01-02 09:32:57.0,03/16,United States,Arvada,1.0994861581299184E7,11369,30-07-2016 11:04:39,528
342966201267661,015777120121252,2010-06-10 07:32:59.0,10/14,United States,Branford,1.3171314562639486E7,63065,31-08-2017 10:42:35,464
343021795545168,034436901002830,2010-07-24 06:53:37.0,06/13,United States,North Bel Air,1.577537633028417E7,16689,31-07-2017 03:18:49,464
343107037888023,979274357975688,2014-07-05 01:41:46.0,12/16,United States,Inglewood-Finn Hill,1.3063959846763954E7,26662,30-10-2017 19:04:42,353
343252340741735,055787011798644,2014-12-24 03:29:32.0,02/15,United States,Kissimmee,1.2978861342333734E7,20105,30-12-2017 22:45:31,386
343330859464824,051518771748227,2011-02-09 04:11:31.0,11/14,United States,Murfreesboro,1.4658738415568834E7,28349,31-07-2017 15:36:10,497
343478616471867,918968215840378,2013-08-11 10:10:44.0,09/17,United States,Pinewood,1.6237011298607036E7,10520,29-01-2018 10:15:53,302
343753962914526,319436604377423,2017-02-28 08:59:13.0,07/17,United States,Cahokia,1.4551019325792937E7,61839,31-08-2017 14:13:16,684
343794320536223,083447760133750,2015-02-28 09:56:55.0,10/15,United States,Alice,1.6328829586985258E7,80705,27-01-2018 16:07:49,383
343802190729995,103489181611635,2015-11-19 04:09:19.0,12/16,United States,Laplace,1.1707283778726289E7,72043,30-12-2016 04:46:01,331
343803912797603,374775668614336,2010-03-18 09:22:55.0,09/12,United States,McDonough,1.1808017575734187E7,58460,31-08-2017 19:29:15,344
343902075851032,447204392852035,2016-04-04 09:12:08.0,01/17,United States,Lakeville,1.5603381973872744E7,18822,28-08-2017 00:11:48,392
343923894022124,233154406228727,2013-05-02 08:50:27.0,11/16,United States,Lacey,1.3069854471129633E7,68958,28-11-2016 09:04:54,453
343953209773343,495110335914510,2014-07-01 00:42:06.0,10/17,United States,Englewood,1.4139628261675525E7,55969,31-12-2017 11:02:52,401
343962656588624,874267591301724,2017-09-13 04:32:55.0,09/17,United States,Ramona,1.1814242701797444E7,46962,31-01-2018 07:54:36,442
343991629633818,372225917645777,2017-07-09 04:03:45.0,07/17,United States,Lake Shore,1.262756776322702E7,68767,30-12-2017 12:13:30,591
344000005693030,067585562947546,2010-09-08 03:40:42.0,01/14,United States,Wellesley,1.4509799039863264E7,43522,26-06-2017 04:08:16,584
344002520206946,313129704156102,2012-04-08 12:06:09.0,12/14,United States,Burien,1.3073912605126236E7,35553,30-05-2016 03:53:11,271
